URL,Category,Date of Access
https://www.bet365.com/,Gambling,24/07/2021
https://www.williamhill.com/,Gambling,24/07/2021
https://www.ladbrokes.com/,Gambling,24/07/2021
https://www.betfair.com/,Gambling,24/07/2021
https://www.unibet.com/,Gambling,24/07/2021
https://www.betfred.com/,Gambling,24/07/2021
https://www.paddypower.com/,Gambling,24/07/2021
https://www.betvictor.com/,Gambling,24/07/2021
https://www.sportsbet.com.au/,Gambling,24/07/2021
https://www.betfred.com/,Gambling,24/07/2021
https://ashleymadison.com/,Other,24/07/2021
https://www.chick.com/,Offensive Content,24/07/2021
http://statestimesreview.com/,POFMA,24/07/2021
https://www.lawyersforliberty.org/,POFMA,24/07/2021
https://pirateproxy.space,Piracy,24/07/2021
https://www.playboy.com/,Other,28/07/2021
https://www.pornhub.com/,Pornography,28/07/2021
https://www.redtube.com/,Pornography,28/07/2021
https://www.youporn.com/,Pornography,28/07/2021
https://penthousemagazine.com/,Pornography,28/07/2021
https://www.xnxx.com/,Pornography,28/07/2021
https://www.tube8.com/,Pornography,28/07/2021
https://www.xvideos.com/,Pornography,28/07/2021
http://www.tnatflix.com/,Pornography,28/07/2021
https://www.porn.com/,Pornography,28/07/2021
http://lubetube.com/,Pornography,28/07/2021
https://www.xtube.com/,Pornography,28/07/2021
http://solarmovie.ph/,Piracy,29/07/2021
https://mom-sg.org,Scam,31/07/2021
http://singapore-herald.com/,IMDA takedown,01/08/2021
http://www.singapore-hereld.com/,IMDA takedown,01/08/2021
http://temasekreviewnews.com/,IMDA takedown,01/08/2021
https://www.facebook.com/104081784637071,POFMA,03/08/2021
https://www.facebook.com/1857744791006399,POFMA,03/08/2021
https://www.facebook.com/428862984597558,POFMA,03/08/2021
https://www.facebook.com/1599939350224250,POFMA,03/08/2021
https://rarbg.to/,Piracy,03/08/2021
https://rutracker.org/,Piracy,03/08/2021
https://katcr.co/,Piracy,03/08/2021
http://123tvnow.com/,Piracy,03/08/2021
https://zooqle.com/,Piracy,03/08/2021
https://yesmovies.ag/,Piracy,03/08/2021
https://www.stream2watch.ws/,Piracy,03/08/2021